,ID,E_Brent,NE_C1,NE_C2,NE_C3,NE_C4,NE_C5,M1_C1,M2_C1,M2_C2,B44_C1,B44_C2,SW_C1,reg_f,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p
118,118,55,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4598.398,8944.0845,11442.96,3358.26,28343.7025,28070,7086.6124,474.3,35630.9124,50372.7787,3619.861573772601
119,119,55,0,0,1,0,0,0,1,0,0,1,1,0,0,0,10005.4608,17100.2545,13122.09,6716.52,46944.3253,36300,9739.3004,632.4,46671.7004,73031.482,5693.431780037369
120,120,55,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3363.0297,6806.6676,5037.39,1679.13,16886.2172,12840,3496.1449,210.8,16546.9449,28718.9227,1728.890436936956
121,121,55,0,0,1,0,0,0,0,1,0,0,1,0,0,0,8770.0925,14962.8376,6716.52,5037.39,35486.84,21070,6148.8329,368.9,27587.7329,51186.0615,3792.009935721154
122,122,55,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4514.2867,6806.6676,13122.09,1679.13,26122.1742,26550,7024.8131,474.3,34049.1131,44639.0192,3199.9515494103493
123,123,55,0,0,1,0,0,0,0,1,1,0,1,0,0,0,9921.3494,14962.8376,14801.22,5037.39,44722.797,34780,9677.5012,632.4,45089.9012,67249.7354,5298.942720508056
124,124,55,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5348.5582,9977.5173,13122.09,1679.13,30127.2955,27470,7583.2503,474.3,35527.5503,47969.6735,3518.137391915316
125,125,55,0,0,1,0,0,0,0,1,0,1,1,0,0,0,10755.621,18133.6873,14801.22,5037.39,48727.9183,35700,10235.9383,632.4,46568.3383,70649.8536,5610.866748027683
126,126,55,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3910.9508,8382.0374,3358.26,1679.13,17330.3782,13270,3580.3443,158.1,17008.4443,20657.9135,1491.5936828441
127,127,55,0,0,1,0,0,1,0,0,0,0,1,0,0,0,9318.0136,16538.2074,5037.39,5037.39,35931.001,21500,6233.0323,316.2,28049.2323,43166.7405,3556.993381869857
128,128,55,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5062.2078,8382.0374,11442.96,1679.13,26566.3352,26980,7109.0126,421.6,34510.6126,36597.6474,2980.9069694851164
129,129,55,0,0,1,0,0,1,0,0,1,0,1,0,0,0,10469.2706,16538.2074,13122.09,5037.39,45166.958,35210,9761.7006,579.7,45551.4006,59221.1642,5064.454840485039
130,130,55,0,0,1,0,0,1,0,0,0,1,0,0,0,0,5896.4794,11552.8871,11442.96,1679.13,30571.4565,27900,7667.4497,421.6,35989.0497,39925.8703,3301.7227580031326
131,131,55,0,0,1,0,0,1,0,0,0,1,1,0,0,0,11303.5421,19709.0571,13122.09,5037.39,49172.0792,36130,10320.1377,579.7,47029.8377,62587.3215,5376.378868004666
132,132,55,0,0,1,0,0,1,1,0,0,0,0,0,0,0,5627.8783,11999.0521,3358.26,3358.26,24343.4504,17370,4429.475,210.8,22010.275,29563.133,2054.64126001546
133,133,55,0,0,1,0,0,1,1,0,0,0,1,0,0,0,11034.9411,20155.2221,5037.39,6716.52,42944.0732,25600,7082.1631,368.9,33051.0631,51974.5508,4132.706657108378
134,134,55,0,0,1,0,0,1,1,0,1,0,0,0,0,0,6779.1353,11999.0521,11442.96,3358.26,33579.4074,31080,7958.1433,474.3,39512.4433,45442.9096,3534.942753842584
135,135,55,0,0,1,0,0,1,1,0,1,0,1,0,0,0,12186.198,20155.2221,13122.09,6716.52,52180.0302,39310,10610.8313,632.4,50553.2313,67995.9093,5606.8346647902545
136,136,55,0,0,1,0,0,1,1,0,0,1,0,0,0,0,7613.4068,15169.9019,11442.96,3358.26,37584.5287,32000,8516.5804,474.3,40990.8804,48756.3527,3855.9756499723844
137,137,55,0,0,1,0,0,1,1,0,0,1,1,0,0,0,13020.4696,23326.0719,13122.09,6716.52,56185.1514,40230,11169.2684,632.4,52031.6684,71391.4051,5915.745195562933
138,138,55,0,0,1,0,0,1,0,1,0,0,0,0,0,0,6378.0385,13032.4849,5037.39,1679.13,26127.0434,16770,4926.1129,210.8,21906.9129,27256.3992,1945.9096501083293
